,NKY Index,SHSZ300 Index,SX5E Index,INDU Index,KS
2020-04-09,0.5307051,0.85119253,0.65538496,0.8470634,0.4520021
2020-04-14,0.5649976,0.8718826,0.66321903,0.86395097,0.489298
2020-04-16,0.55431116,0.88782924,0.6714973,0.9049479,0.5174807
2020-04-17,0.58712935,0.91412264,0.6855473,0.9411561,0.5722941
2020-04-20,0.6178489,0.913503,0.69910437,0.9697735,0.6038195
2020-04-21,0.6670997,0.91535413,0.7087644,1.0058383,0.65161747
2020-04-22,0.7206586,0.9109806,0.7253295,1.043603,0.6899259
2020-04-23,0.79915386,0.8887665,0.74646264,1.0936522,0.74236155
2020-04-24,0.79924107,0.8794937,0.74843645,1.0974478,0.75296503
2020-04-27,0.81890595,0.8861742,0.7641712,1.1020384,0.8028047
2020-04-28,0.82789475,0.8883123,0.77721834,1.0988864,0.8388559
2020-05-07,0.8171492,0.9088816,0.7814733,1.0817435,0.8716905
2020-05-08,0.8519603,0.9435692,0.8036928,1.1020095,0.91844165
2020-05-11,0.8362737,0.97658235,0.8116081,1.0823814,0.9356123
2020-05-12,0.8449934,1.0122614,0.82253236,1.0780652,0.9615788
2020-05-13,0.8857787,1.0573394,0.8335374,1.0785851,1.0168966
2020-05-14,0.90708745,1.0698928,0.8396016,1.0755116,1.0494599
2020-05-15,0.92392653,1.0767204,0.8472784,1.0755671,1.0782242
2020-05-18,0.95358354,1.0951526,0.86839974,1.0910331,1.1179575
2020-05-19,0.96857154,1.1114081,0.87330294,1.069928,1.1570005
2020-05-20,1.0162492,1.1141655,0.879864,1.0722617,1.1865878
2020-05-21,1.0431408,1.0960659,0.88394904,1.0733769,1.2234683
2020-05-22,1.03609,1.0572052,0.8922323,1.0626864,1.226846
2020-05-26,1.0858295,1.039719,0.90784043,1.0730965,1.2722782
2020-05-27,1.1405525,1.0154855,0.92534864,1.1105051,1.3098761
2020-05-28,1.2453634,1.0055563,0.9571563,1.1472044,1.3419787
2020-05-29,1.3689725,1.0031346,0.9812823,1.1639119,1.3764211
2020-06-01,1.48937,1.029242,1.0086762,1.1848235,1.4291098
2020-06-02,1.6578844,1.0464071,1.0286148,1.1825296,1.4774395
2020-06-03,1.8245683,1.0565388,1.0653787,1.2188314,1.5411928
2020-06-04,1.9879382,1.0681746,1.0904585,1.2338428,1.5905592
2020-06-05,2.197049,1.0774477,1.140947,1.2892666,1.6569202
2020-06-08,2.4434273,1.1029899,1.1813984,1.3474427,1.7329174
2020-06-09,2.5409992,1.1121846,1.1998882,1.3675928,1.768889
2020-06-10,2.6491551,1.1260629,1.2096071,1.3635663,1.8266774
2020-06-11,2.5514047,1.1260622,1.1966113,1.3066297,1.861861
2020-06-12,2.4913673,1.1267947,1.1949582,1.2845591,1.857088
2020-06-15,2.3054752,1.107665,1.1882132,1.2624766,1.7604291
2020-06-16,2.2354422,1.1022178,1.189887,1.2471207,1.7505316
2020-06-17,2.1058478,1.0870614,1.185549,1.2138067,1.691328
2020-06-18,1.9822121,1.0887252,1.1800958,1.1869165,1.6435685
2020-06-19,1.8676506,1.0867501,1.1740568,1.1337546,1.5933261
2020-06-22,1.7498442,1.0892243,1.1697762,1.0906361,1.545678
2020-06-23,1.6634128,1.0909514,1.1750363,1.063927,1.5035915
2020-06-24,1.5753297,1.1025026,1.1684157,1.0264963,1.4830819
2020-06-29,1.5002936,1.1125565,1.176359,1.0382702,1.4277555
2020-06-30,1.4590569,1.1452053,1.1869907,1.0331678,1.4155473
2020-07-01,1.4615009,1.2043943,1.1935333,1.0242373,1.4284406
2020-07-02,1.382122,1.2684013,1.1988423,1.0097573,1.4083642
2020-07-06,1.3732717,1.4707954,1.201144,1.0112973,1.41057
2020-07-07,1.3420268,1.6189843,1.1986283,0.99873835,1.3943647
2020-07-08,1.298545,1.7776405,1.1918339,0.99498194,1.3730481
2020-07-09,1.2562565,1.9457142,1.1862394,0.97684723,1.3691527
2020-07-10,1.2041097,2.014886,1.1795278,0.9702644,1.3427064
2020-07-13,1.1918453,2.144397,1.1808534,0.9757087,1.3293952
2020-07-14,1.2015738,2.245314,1.1778342,0.9949473,1.3343279
2020-07-15,1.2157209,2.2804255,1.1855298,1.0089473,1.3397899
2020-07-16,1.2423527,2.1656477,1.1891402,1.0197899,1.3385372
2020-07-17,1.2350603,2.086083,1.1785505,1.0235888,1.3270836
2020-07-20,1.2047738,1.9347533,1.1668395,1.019639,1.2896829
2020-07-21,1.2067969,1.8346809,1.1616644,1.0336927,1.2870486
2020-07-22,1.1996899,1.7373651,1.1465911,1.0462482,1.2733204
2020-07-27,1.192883,1.5790901,1.1329683,1.0562817,1.2549169
2020-07-28,1.1873193,1.5175954,1.1186976,1.051572,1.2628883
2020-07-29,1.1391754,1.4648292,1.1076394,1.0627784,1.2500932
2020-07-30,1.1236778,1.42901,1.0933362,1.0438508,1.2617996
2020-07-31,1.0438453,1.416574,1.0724971,1.0282584,1.2610469
2020-08-03,1.0133369,1.4693694,1.0628928,1.0261624,1.2825447
2020-08-04,1.0164376,1.4652714,1.0482428,1.0288678,1.2926892
2020-08-05,0.9923397,1.4210651,1.0339605,1.0370164,1.3195931
2020-08-06,0.9614256,1.381379,1.019934,1.0470375,1.3530396
2020-08-07,0.94195557,1.319783,1.0092883,1.0512884,1.3913325
2020-08-11,0.9427164,1.2844756,1.0086299,1.0799229,1.4709074
2020-08-12,0.9497241,1.2328187,1.0070703,1.1165875,1.5333269
2020-08-13,0.9839463,1.1646097,1.0085022,1.1361763,1.594474
2020-08-14,1.0085802,1.1412143,1.0079492,1.1628904,1.6268581
2020-08-18,1.0469935,1.1255897,1.0064193,1.1751252,1.622516
2020-08-19,1.0572393,1.086964,1.0062886,1.1798571,1.6370579
2020-08-20,1.0415392,1.0409096,0.99617857,1.1844897,1.578499
2020-08-21,1.0491526,0.96875316,0.98697376,1.1881515,1.5413108
2020-08-24,1.0585862,0.92552704,0.98691535,1.1947004,1.506473
2020-08-25,1.0940531,0.88339823,0.9889527,1.1948175,1.4920335
2020-08-26,1.0987257,0.8410209,0.99281895,1.1948476,1.4529362
2020-08-27,1.090458,0.83073765,0.9894367,1.1981876,1.4075221
2020-08-28,1.0524151,0.8218313,0.9831882,1.209565,1.3705772
2020-08-31,1.0348649,0.80534756,0.97576725,1.2138389,1.3386588
2020-09-01,1.05697,0.790446,0.96975654,1.2361579,1.337594
2020-09-02,1.0652254,0.8012027,0.9679897,1.270952,1.3275577
2020-09-03,1.0945876,0.7972068,0.9636069,1.2598839,1.3551594
2020-09-04,1.0915387,0.77087563,0.95455354,1.2409148,1.3441302
2020-09-08,1.1032826,0.7420345,0.9456986,1.1926342,1.3399503
2020-09-09,1.0732169,0.7082017,0.94348764,1.1716796,1.3118926
