DATE,INDU Index,KRW Curncy,LMCADY Comdty,NKY Index,SHSZ300 Index,SX5E Index,USYC2Y10 Index,VIX Index
2002-05-16,10289.21,1262,1595.5,11738.69,1261.52,3579.03,195.8,18.5
2002-05-17,10353.08,1261.6,1572.75,11847.32,1277.23,3554.77,197.2,17.7
2002-05-20,10229.5,1253.5,1574.5,11856.54,1258.83,3518.98,196.45,19.24
2002-05-21,10105.71,1242,1579.5,11801.16,1298.88,3512.88,188.8,20.05
2002-05-22,10157.88,1247.3,1578.25,11961.98,1280.16,3459.02,192.35,19.58
2002-05-23,10216.08,1246.5,1596,11979.85,1284.84,3467.67,191.9,18.23
2002-05-24,10104.26,1243.5,1602.5,11976.28,1265.97,3477.06,189.5,18.9
2002-05-27,,1223.8,1606,11976.35,1270.34,3500.94,198,
2002-05-28,9981.58,1234,1634.5,11936.08,1270.38,3472.4,191.45,20.31
2002-05-29,9923.04,1233.9,1627.5,11853,1246.02,3462.38,182.5,20.39
2002-05-30,9911.69,1229.55,1626.5,11770.03,1245.89,3388.44,191.35,20.61
2002-05-31,9925.25,1221.5,1641.75,11763.7,1238.58,3425.79,185.95,19.98
2002-06-03,9709.79,1226.4,,11901.39,1213.39,3382.54,188.9,23.37
2002-06-04,9687.84,1220.1,,11653.07,1219.52,3260.01,197.5,23.89
2002-06-05,9796.8,1224.2,1679,11663.87,1196.62,3267.77,183.85,22.61
2002-06-06,9624.64,1224.35,1689.5,11574.94,1245.61,3277.53,195.4,24.16
2002-06-07,9589.67,1228,1676.75,11438.53,1252.51,3210.5,198.05,23.51
2002-06-10,9645.4,1232,1676.5,11370.21,1243.74,3205.36,193.6,23.72
2002-06-11,9517.26,1221,1656,11449.44,1252.85,3265.27,198.35,24.45
2002-06-12,9617.71,1217,1651.5,11327.06,1246.84,3176.95,201.2,24.15
2002-06-13,9502.8,1233.4,1652.1,11144.84,1235.57,3142.21,188.55,25.02
2002-06-14,9474.21,1236.1,1648,10920.63,1222.12,3054.5,197.45,25.96
2002-06-17,9687.42,1230.25,1649.85,10664.11,1224.65,3193,206.3,24.64
2002-06-18,9706.12,1234.05,1646.5,10839.93,1248.84,3188.26,187.4,24.24
2002-06-19,9561.57,1230.3,1644.5,10476.18,1236.05,3122.35,194.65,26.06
2002-06-20,9431.77,1224.85,1626,10612.98,1245.08,3057.43,189.15,27.48
2002-06-21,9253.79,1219.45,1618.5,10354.35,1288.52,3036.29,199.45,27.23
2002-06-24,9281.82,1213.6,1613,10471.32,1409.51,2928.72,206,26.98
2002-06-25,9126.82,1213.6,1634.5,10496.67,1409.23,3008.29,191.1,27.84
2002-06-26,9120.11,1203.85,1637,10074.56,1417.31,2949.07,200.85,28.42
2002-06-27,9269.92,1200.5,1641.75,10261.6,1422.51,3002.74,196.9,26.29
2002-06-28,9243.26,1201.25,1669.75,10621.84,1431.18,3133.39,201.7,25.4
2002-07-01,9109.79,1202.5,1665.25,10595.44,1415.33,3131.39,192.95,27.11
2002-07-02,9007.75,1205.75,1646.5,10622.32,1425.81,2999.17,191.2,28.96
2002-07-03,9054.97,1202.5,1636,10812.3,1427.39,2928.94,189.3,29.42
2002-07-04,,1200.5,1627.5,10632.81,1412.62,3013.8,206.7,
2002-07-05,9379.5,1197.5,1646.75,10826.09,1415.4,3165.47,209.75,27.11
2002-07-08,9274.9,1191.4,1634,10769.2,1423.7,3155.88,214.3,28.25
2002-07-09,9096.09,1182.3,1644.5,10960.25,1419.47,3113.69,202.2,30.22
2002-07-10,8813.5,1177.5,1641.75,10752.66,1392.9,2983.47,211.3,34.1
2002-07-11,8801.53,1179.65,1623,10485.74,1390.93,2883.92,202.5,33.85
2002-07-12,8684.53,1182.7,1618.05,10601.45,1389.45,2886.3,201.35,32.94
2002-07-15,8639.19,1176.5,1608.25,10375.15,1379.38,2709.22,207.65,35.03
2002-07-16,8473.11,1169.5,1611.5,10250.42,1382.41,2713.73,218.6,36.65
2002-07-17,8542.48,1171.85,1612,10296.02,1393.02,2819.63,219.4,35.45
2002-07-18,8409.49,1171.5,1600.5,10498.26,1397.41,2850.14,217.3,35.12
2002-07-19,8019.26,1170.6,1571.75,10202.36,1403.25,2695.46,220.6,38.17
2002-07-22,7784.58,1165.4,1552.75,10189.01,1380.28,2544.95,211.1,41.87
2002-07-23,7702.34,1173.1,1526.25,10215.63,1375.61,2458.56,222.5,44.92
2002-07-24,8191.29,1174.9,1506.25,9947.72,1372.89,2438.31,216,39.86
2002-07-25,8186.31,1171.25,1517.75,9929.91,1365,2515.2,199.3,39.27
2002-07-26,8264.39,1190.45,1513,9591.03,1361.41,2536.93,214,35.51
2002-07-29,8711.88,1200.15,1523.25,9666.67,1368.8,2723.01,234.9,31.33
2002-07-30,8680.03,1193.15,1506,10003.72,1371.91,2691.91,233.6,31.92
2002-07-31,8736.59,1188,1498,9877.94,1358.16,2685.79,238.7,32.03
2002-08-01,8506.62,1182.85,1489.5,9793.51,1355.3,2557.86,240.1,36.95
2002-08-02,8313.13,1184.5,1482.75,9709.66,1359.99,2547.12,216.6,41.29
2002-08-05,8043.63,1197.75,1457.5,9704.93,1353.48,2447.32,235.4,45.08
2002-08-06,8274.09,1209.25,1479,9501.02,1368.99,2592.24,222.25,42.03
2002-08-07,8456.15,1203.45,1471,9834.4,1366.8,2564.77,232.95,38.73
2002-08-08,8712.02,1207,1479.75,9799.57,1359.68,2698.18,218.3,36.33
2002-08-09,8745.45,1202,1482.5,9999.79,1350.31,2750.16,224.9,35.33
2002-08-12,8688.89,1201,1470.5,9747.82,1340.22,2670.78,193.1,37.05
2002-08-13,8482.39,1199,1479.5,9688.61,1342.36,2698.99,193.3,35.82
2002-08-14,8743.31,1181.5,1459.25,9638.41,1351.51,2590.75,192,32.36
